Id,firstName,lastName,Created,Updated,LastLogin,groupId,Email,phoneNumber,clientSystemId,sumPoints,userType
135791560,שירה,ברון,01/08/2015,29/08/2015,01/09/2015,שמעון,a12346@aceimpact.com,0521111401,4529,110,regular
135791575,עדי,שוהם,01/08/2015,29/08/2015,01/09/2015,שמעון,a12347@aceimpact.com,0521111411,4530,120,regular
135791590,רחל,מודיעין,15/08/2015,29/08/2015,01/09/2015,שמעון,a12348@aceimpact.com,0521111421,4531,600,regular
135791605,ניר,רענן,01/08/2015,29/08/2015,01/09/2015,שמעון,a12349@aceimpact.com,0521111431,4532,50,regular
135791620,אופיר,אילת,01/08/2015,29/08/2015,01/09/2015,שמעון,a12350@aceimpact.com,0521111441,4533,80,regular
135791635,עומר,ירושלמי,01/08/2015,29/08/2015,01/09/2015,שמעון,a12351@aceimpact.com,0521111451,4534,210,regular
135791650,עמיר,יפה,01/08/2015,29/08/2015,01/09/2015,שמעון,a12352@aceimpact.com,0521111461,4535,220,regular
135791665,הראל,אביבי,01/08/2015,29/08/2015,01/09/2015,שמעון,a12353@aceimpact.com,0521111471,4536,300,regular
135791680,שי,מלכה,15/08/2015,29/08/2015,01/09/2015,מיכל,a12354@aceimpact.com,0521111481,4537,310,regular
135791695,פאר,טסי,01/08/2015,29/08/2015,01/09/2015,מיכל,a12355@aceimpact.com,0521111491,4538,325,regular
135791710,רומי,מיכאלון,15/07/2015,29/08/2015,01/09/2015,מיכל,a12356@aceimpact.com,0521111052,4539,265,regular
135791725,גילי,שובלי,01/08/2015,29/08/2015,01/09/2015,מיכל,a12357@aceimpact.com,0521111511,4540,275,regular
135791740,קרן,קורא,01/08/2015,29/08/2015,01/09/2015,מיכל,a12358@aceimpact.com,0521111521,4541,300,regular
135791755,אורי,פז,15/08/2015,29/08/2015,01/09/2015,מיכל,a12359@aceimpact.com,0521111531,4542,200,regular
135791770,אורית,אורן,01/08/2015,29/08/2015,01/09/2015,מיכל,a12360@aceimpact.com,0521111541,4543,45,regular
135791785,שיר,ברוש,01/08/2015,29/08/2015,01/09/2015,מיכל,a12361@aceimpact.com,0521111551,4544,55,regular
135791800,דניאל,תאנה,01/08/2015,29/08/2015,01/09/2015,מיכל,a12362@aceimpact.com,0521111561,4545,555,regular
135791815,סיון,לוטם,01/08/2015,29/08/2015,01/09/2015,מיכל,a12363@aceimpact.com,0521111571,4546,425,regular
135791830,אליאן,מזרחי,01/08/2015,29/08/2015,01/09/2015,עידן,a12364@aceimpact.com,0521111581,4547,435,regular
135791845,לוטם,פרץ,01/07/2015,29/08/2015,01/09/2015,עידן,a12365@aceimpact.com,0521111591,4548,285,regular
135791860,רותם,ביטון,01/08/2015,29/08/2015,01/09/2015,עידן,a12366@aceimpact.com,0521111601,4549,295,regular
135791875,שירה,דהאן,01/08/2015,29/08/2015,01/09/2015,עידן,a12367@aceimpact.com,0521111611,4550,105,regular
135791890,רום,כלנית,01/08/2015,29/08/2015,01/09/2015,עידן,a12368@aceimpact.com,0521111621,4551,30,regular
135791905,אלה,אלון,15/08/2015,29/08/2015,01/09/2015,עידן,a12370@aceimpact.com,0521111631,4552,120,regular
135791920,אליאנה,ארגמן,01/08/2015,29/08/2015,01/09/2015,עידן,a12371@aceimpact.com,0521111641,4553,130,regular
135791935,אלינה,קטלב,01/08/2015,29/08/2015,01/09/2015,עידן,a12372@aceimpact.com,0521111651,4554,505,regular
135791950,גיא,אברנית,01/08/2015,29/08/2015,01/09/2015,עידן,a12373@aceimpact.com,0521111661,4555,350,regular
135791965,עידו,שי,15/08/2015,29/08/2015,01/09/2015,עידן,a12374@aceimpact.com,0521111671,4556,565,regular
135791980,עופרי,אדר,01/08/2015,29/08/2015,01/09/2015,גל,a12375@aceimpact.com,0521111681,4557,575,regular
135791995,יונתן,נובר,01/08/2015,29/08/2015,01/09/2015,גל,a12376@aceimpact.com,0521111691,4558,400,regular
135792010,יוני,אזולה,01/08/2015,29/08/2015,01/09/2015,גל,a12377@aceimpact.com,0521111701,4559,410,regular
135792025,נדב,ירוחם,15/07/2015,29/08/2015,01/09/2015,גל,a12378@aceimpact.com,0521111711,4560,420,regular
135792040,עידן,גלבוע,01/08/2015,29/08/2015,01/09/2015,גל,a12379@aceimpact.com,0521111721,4561,500,regular
135792055,נטע,חרמון,01/08/2015,29/08/2015,01/09/2015,גל,a12380@aceimpact.com,0521111731,4562,510,regular
135792070,אגם,מירון,01/08/2015,29/08/2015,01/09/2015,גל,a12381@aceimpact.com,0521111741,4563,250,regular
135792085,תהל,ים,01/08/2015,29/08/2015,01/09/2015,גל,a12382@aceimpact.com,0521111751,4564,260,regular
135792100,גל,גדון,01/08/2015,29/08/2015,01/09/2015,גל,a12383@aceimpact.com,0521111761,4565,310,regular
135792115,יואב,הנגבי,01/08/2015,29/08/2015,01/09/2015,גל,a12384@aceimpact.com,0541111771,4566,320,regular
135792130,מור,ירושלמי,01/08/2015,29/08/2015,01/09/2015,גל,a12385@aceimpact.com,0541111781,4567,50,regular
135792145,יאיר,אבטליון,01/08/2015,29/08/2015,01/09/2015,גל,a12386@aceimpact.com,0541111791,4568,60,regular
135792160,יערה,אביאל,01/07/2015,29/08/2015,01/09/2015,גל,a12387@aceimpact.com,0541111801,4569,70,regular
135792175,איתמר,אביבים,15/08/2015,29/08/2015,01/09/2015,מעיין,a12388@aceimpact.com,0541111811,4570,80,regular
135792190,אדם,אביגדור,01/08/2015,29/08/2015,01/09/2015,מעיין,a12389@aceimpact.com,0541111821,4571,60,regular
135792205,ניתאי,אביחיל,01/08/2015,29/08/2015,01/09/2015,מעיין,a12390@aceimpact.com,0541111831,4572,150,regular
135792220,ג'ון,אביטן,01/08/2015,29/08/2015,01/09/2015,מעיין,a12392@aceimpact.com,0541111841,4573,200,regular
135792235,הדר,בארי,01/08/2015,29/08/2015,01/09/2015,מעיין,a123499@aceimpact.com,0541111851,4574,210,regular
135792250,איתי,בחן,01/08/2015,29/08/2015,01/09/2015,מעיין,a12393@aceimpact.com,0541111861,4575,360,regular
135792265,אייל,גוברין,01/08/2015,29/08/2015,01/09/2015,מעיין,a12395@aceimpact.com,0541111871,4576,420,regular
135792280,ארנון,ביתר,01/08/2015,29/08/2015,01/09/2015,מעיין,a12396@aceimpact.com,0541111882,4577,360,regular
135792295,אלמוג,גבעתי,01/08/2015,29/08/2015,01/09/2015,מעיין,a12397@aceimpact.com,0541111892,4578,405,regular
135792310,משה,גורן,01/08/2015,29/08/2015,01/09/2015,מעיין,a12398@aceimpact.com,0541111902,4579,520,regular
135792325,יהלי,גזר,01/08/2015,29/08/2015,01/09/2015,מעיין,a12399@aceimpact.com,0541111912,4580,530,regular
135792340,דניאלה,גלעד,15/07/2015,29/08/2015,01/09/2015,ירדן,b1234@aceimpact.com,0541111922,4581,540,regular
135792355,רועי,גלילי,01/08/2015,29/08/2015,01/09/2015,ירדן,b1235@aceimpact.com,0541111932,4582,300,regular
135792370,לירז,דגניה,01/08/2015,29/08/2015,01/09/2015,ירדן,b1237@aceimpact.com,0541111942,4583,265,regular
135792385,לירון,הושיה,01/08/2015,29/08/2015,01/09/2015,ירדן,b1238@aceimpact.com,0541111952,4584,305,regular
135792400,גאיה,זרזיר,15/08/2015,29/08/2015,01/09/2015,ירדן,b1240@aceimpact.com,0541111962,4585,315,regular
135792415,יהב,חבצלת,01/08/2015,29/08/2015,01/09/2015,ירדן,b1241@aceimpact.com,0541111972,4586,500,regular
135792430,שירן,שרון,01/08/2015,29/08/2015,01/09/2015,ירדן,b1242@aceimpact.com,0541111982,4587,575,regular
135792445,אמה,חברוני,01/08/2015,29/08/2015,01/09/2015,ירדן,b1243@aceimpact.com,0541111992,4588,105,regular
135792460,דני,טנא,15/08/2015,29/08/2015,01/09/2015,ירדן,b1244@aceimpact.com,0541112002,4589,30,regular
135792475,אילון,יגור,01/07/2015,29/08/2015,01/09/2015,ירדן,b1245@aceimpact.com,0541112012,4590,400,regular
135792490,נופר,יגל,01/07/2015,29/08/2015,01/09/2015,עמית,b1246@aceimpact.com,0541112022,4591,150,regular
135792505,ליאור,יובל,01/08/2015,29/08/2015,01/09/2015,עמית,b1247@aceimpact.com,0541112032,4592,160,regular
135792520,איריס,יקיר,01/08/2015,29/08/2015,01/09/2015,עמית,b1248@aceimpact.com,0541112042,4593,210,regular
135792535,תומר,כנרת,01/08/2015,29/08/2015,01/09/2015,עמית,b1249@aceimpact.com,0541112052,4594,305,regular
135792550,אהרון,קרן,01/08/2015,29/08/2015,01/09/2015,עמית,b1250@aceimpact.com,0541112062,4595,280,regular
135792565,רמון,כרם,01/08/2015,29/08/2015,01/09/2015,עמית,b1251@aceimpact.com,0541112072,4596,55,regular
135792580,אריאל,כרמל,01/08/2015,29/08/2015,01/09/2015,עמית,b1252@aceimpact.com,0541112082,4597,65,regular
135792595,יפעת,לוין,01/08/2015,29/08/2015,01/09/2015,עמית,b1255@aceimpact.com,0541112092,4598,520,regular
135792610,שקד,לוטם,01/08/2015,29/08/2015,01/09/2015,עמית,az1234@aceimpact.com,0541112102,4599,530,regular
135792625,עדן,מאור,01/08/2015,29/08/2015,01/09/2015,עמית,b1256@aceimpact.com,0541112112,4600,600,regular
135792640,אדיר,מגדל,01/08/2015,29/08/2015,01/09/2015,עופרי,b1257@aceimpact.com,0541112122,4601,80,regular
135792655,יותם,מגידו,15/07/2015,29/08/2015,01/09/2015,עופרי,b1258@aceimpact.com,0541112132,4602,120,regular
135792670,אילי,נוגה,01/08/2015,29/08/2015,01/09/2015,עופרי,b1259@aceimpact.com,0541112142,4603,130,regular
135792685,הילה,בר,01/08/2015,29/08/2015,01/09/2015,עופרי,b1260@aceimpact.com,0541112152,4604,250,regular
135792700,רינת,נחשון,01/08/2015,29/08/2015,01/09/2015,עופרי,b1262@aceimpact.com,0541112162,4605,260,regular
135792715,מוריה,עידן,01/08/2015,29/08/2015,01/09/2015,עופרי,b1264@aceimpact.com,0541112172,4606,425,regular
135792730,ניר,יניב,01/08/2015,29/08/2015,01/09/2015,עופרי,b1265@aceimpact.com,0541112182,4607,560,regular
135792745,יעל,אבן,15/07/2015,29/08/2015,01/09/2015,עופרי,b1266@aceimpact.com,0541112192,4608,325,regular
135792760,זיו,עזר,01/08/2015,29/08/2015,01/09/2015,עופרי,b1267@aceimpact.com,0541112202,4609,335,regular
